PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
127081149001001,280,1458,701,237,26,28,13,609
126823293001001,426,2563,29,187,24,63,53,0
126805885001001,280,2623,414,240,8,22,7,2281
127476349001001,307,797,350,110,15,43,53,1769
142810237001001,168,850,585,110,37,11,39,1176
127442109001001,367,1780,413,178,15,5,53,2289
127734397001001,280,1368,413,178,6,43,36,1662
127606461001001,418,1686,671,157,37,18,13,1341
127046845001001,47,1609,515,64,40,91,69,1887
126761789001001,23,2009,284,138,60,25,13,366
126754429001001,529,1517,738,208,37,88,41,2005
126866429001001,258,499,588,110,15,43,45,1883
126691517001001,151,2755,87,161,15,16,13,276
126744509001001,417,1758,747,237,6,100,13,2421
127048381001001,56,419,599,161,12,58,13,767
127008061001001,343,1348,735,208,37,116,13,1077
126733757001001,316,2717,453,110,46,114,13,2555
126749821001001,107,2606,738,237,37,88,13,271
126713469001001,258,2129,521,205,37,88,13,2474
126783357001001,365,1376,733,208,8,22,13,2109
126828349001001,497,1223,666,237,59,100,13,416
126776125001001,42,1136,286,48,46,98,13,725
126767805001001,79,104,735,208,6,22,13,1496
126855485001001,168,1848,283,208,61,100,13,1949
126856061001001,168,1166,224,237,60,126,53,1894
126783037001001,130,2214,505,208,6,91,13,526
126774845001001,92,725,679,48,55,129,13,568
126806909001001,300,1828,735,117,11,33,13,21
126777277001001,99,271,294,93,37,88,13,2526
127042237001001,17,1243,743,236,36,91,13,1744
126816317001001,341,917,314,226,24,63,49,702
126899581001001,529,2832,691,208,37,103,13,1904
126917245001001,56,869,294,72,37,93,13,2526
126725053001001,436,1221,610,208,60,129,13,1410
126760829001001,17,2063,313,208,30,88,13,1441
127026749001001,466,2367,294,208,15,43,15,263
126995453001001,304,2519,608,237,60,97,13,759
127039549001001,554,302,470,236,8,3,13,1301
126976189001001,279,1256,371,208,37,88,35,1941
126803197001001,280,1458,284,2,9,28,13,609
126782525001001,128,375,628,208,60,27,13,1319
127171837001001,128,859,666,110,50,126,13,496
126849341001001,190,2214,505,208,60,129,13,526
126852541001001,151,1317,743,123,15,43,57,1447
126861309001001,223,1099,630,208,37,88,48,611
127164733001001,144,2729,284,208,37,88,13,1806
126832957001001,550,12,364,151,60,129,13,377
127134205001001,47,545,743,161,40,48,13,2521
126861757001001,223,591,666,212,60,129,13,2512
126768445001001,385,653,649,208,37,88,13,2378
126835709001001,17,106,507,208,37,119,13,2388
126846653001001,99,1666,657,54,48,100,13,1330
127055997001001,92,1756,610,208,46,136,13,1410
127462013001001,477,1124,735,237,60,8,13,2493
127025661001001,451,1255,747,161,8,22,66,1306
127179133001001,151,1852,747,236,60,86,13,297
127105021001001,427,2367,294,208,15,49,13,263
127621053001001,223,1033,668,6,37,45,13,741
127249597001001,300,526,755,167,37,88,13,359
127253309001001,269,2893,689,48,37,14,13,1347
127641149001001,92,1221,650,208,8,22,39,1410
127315197001001,497,2414,284,130,37,88,13,492
127568317001001,343,15,283,208,20,126,13,630
127577789001001,486,2726,735,143,53,112,13,1496
127011709001001,357,1358,625,239,40,91,13,2349
127583293001001,223,1221,634,208,15,43,31,1410
126978173001001,171,2597,304,208,24,63,13,2517
127349565001001,128,1099,666,26,60,126,73,611
127343101001001,84,2251,518,208,46,126,13,99
126890173001001,484,553,590,208,37,86,13,2027
127137469001001,56,869,599,161,33,22,13,767
126757245001001,550,1964,294,180,37,50,13,2458
127130365001001,491,1103,695,161,48,30,13,1240
126731837001001,304,1348,735,161,26,28,13,2237
126751869001001,497,1223,666,15,37,126,13,416
127119805001001,23,2009,284,48,60,129,15,366
126760509001001,17,560,473,237,40,91,41,227
127398141001001,451,1996,588,161,48,94,13,469
126978813001001,43,1531,402,208,40,91,13,1364
126783933001001,233,1241,436,110,15,43,13,2142
126954493001001,215,1221,610,239,48,100,13,1410
126840765001001,40,1502,278,208,48,100,53,336
127051133001001,84,1266,599,208,12,30,13,458
126933245001001,99,526,755,155,6,88,13,1900
127010557001001,304,1240,659,237,60,129,13,745
126917181001001,56,1722,207,208,19,43,13,616
127045821001001,40,2398,278,161,29,129,13,336
126853949001001,151,2782,294,65,60,11,13,1968
127206461001001,472,2519,628,237,37,88,13,1180
127473149001001,118,1221,610,48,11,33,13,1410
127513597001001,223,1221,634,208,37,83,13,1410
127153533001001,510,1694,634,161,60,129,13,469
127300989001001,427,294,283,204,9,28,13,469
127027965001001,477,1581,515,72,15,43,19,394
126985149001001,296,1717,368,133,37,88,13,2115
127027133001001,469,1982,278,208,60,11,69,336
127325821001001,550,2832,691,208,59,128,32,1904
127062845001001,151,669,747,161,57,128,13,2521
127022077001001,270,2367,294,72,37,88,13,263
127329853001001,550,499,657,110,60,129,54,1667
127004221001001,338,91,735,208,37,88,10,21
